Order ID,Region,Country,Order Priority,Total Revenue,Total Cost
686800706,Middle East and North Africa,Libya,M,3692591.2,2224085.18
185941302,North America,Canada,M,464953.08,274426.74
246222341,Middle East and North Africa,Libya,C,387259.76,241840.14
161442649,Asia,Japan,C,683335.4,389039.42
645713555,Sub-Saharan Africa,Chad,H,91853.85,68127.4
683458888,Europe,Armenia,H,1959909.6,1115824.08
679414975,Sub-Saharan Africa,Eritrea,H,585010.8,333060.84
208630645,Europe,Montenegro,M,797634.72,261596.16
266467225,Central America and the Caribbean,Jamaica,H,374057.68,220778.04
118598544,Australia and Oceania,Fiji,H,739488,436464
451010930,Sub-Saharan Africa,Togo,M,329151.36,107950.08
220003211,Europe,Montenegro,M,411050.52,262503.36
702186715,Europe,Greece,C,1007751.16,757830.32
499009597,,,H,4482929.64,3613824.64
564646470,Sub-Saharan Africa,Benin,L,2733.69,2027.56
262056386,,,L,,
211114585,Sub-Saharan Africa,Equatorial Guinea,M,1531645.92,1234705.92
405785882,Sub-Saharan Africa,Swaziland,H,6456747.15,5204978.4
280494105,Central America and the Caribbean,Trinidad and Tobago,M,507473.64,299523.42
689975583,Europe,Sweden,L,2032794.64,1269461.46
759279143,Europe,Belarus,L,4184675.46,3373392.96
133766114,Sub-Saharan Africa,Guinea-Bissau,C,2097547.41,1690896.16
329110324,Asia,Mongolia,M,470371.85,315134.27
681298100,Middle East and North Africa,Turkey,L,43454.67,37563.07
596628272,Sub-Saharan Africa,Central African Republic,L,674251.02,430587.36
901712167,Sub-Saharan Africa,Equatorial Guinea,L,3596632.83,2899354.08
489148938,Europe,Armenia,C,3753133.44,3244282.24
876286971,Europe,Greece,L,1097967.61,825673.22
262749040,Middle East and North Africa,Israel,H,174493.55,120990.45
726708972,Asia,Bhutan,H,3454857.21,2986446.41
366653096,Australia and Oceania,Vanuatu,L,1487295.24,877838.22
951380240,Sub-Saharan Africa,Burundi,M,525344.6,310071.3
270001733,Europe,Ukraine,M,3658489.6,2203545.44
681941401,Europe,Croatia,C,22301.5,14941.3
566935575,Sub-Saharan Africa,Madagascar,L,71747.7,53214.8
175033080,Asia,Malaysia,M,767935.14,490415.52
276595246,Asia,Uzbekistan,L,6209287.35,5005493.6
812295901,Europe,Italy,M,3427318.23,2762864.48
443121373,Asia,Nepal,C,1281162.96,756173.88
600370490,Australia and Oceania,Fiji,H,149075.52,103366.08
535654580,Europe,Portugal,L,617998.29,498187.04
470897471,Central America and the Caribbean,Panama,H,3445573.2,2075303.73
248335492,Europe,Belarus,L,324842.7,217634.34
680517470,Sub-Saharan Africa,Botswana,C,994120.16,326036.48
400304734,Sub-Saharan Africa,Tanzania,M,647383.33,448883.07
810871112,Europe,Romania,C,2367799.56,1908754.56
235702931,Sub-Saharan Africa,Mali,L,1766963,1005974.9
668599021,Sub-Saharan Africa,Central African Republic,C,1408567.23,1135488.48
123670709,Sub-Saharan Africa,Niger,M,1471944.48,919215.72
285341823,Europe,Austria,L,5106137.61,4116211.36
